Date kas kan way koz mal pal thr ern idu kot pat ala kol thi
01/30 0  0   0   0   0   0   1   0   0   0   0   0   0   0
02/02 0  0   0   0   0   0   1   0   0   0   0   1   0   0
02/03 1  0   0   0   0   0   1   0   0   0   0   1   0   0
02/21 0  0   0   0   0   0   0   0   0   0   0   0   0   0
03/09 0  0   0   0   0   0   0   1   0   0   5   0   0   0
03/10 0  0   0   0   0   0   0   3   0   2   9   0   0   0
03/11 0  0   0   0   0   0   0   3   0   2   9   0   0   0
03/12 0  1   0   0   0   0   1   3   0   2   9   0   0   0
03/13 0  1   0   0   0   0   1   3   0   2   9   0   0   3
03/14 0  1   0   0   0   0   1   3   0   2   9   0   0   3
03/15 0  1   0   0   0   0   1   3   1   2   9   0   0   4
03/16 1  1   0   0   2   0   1   3   1   2   9   0   0   4
03/17 1  1   0   0   2   0   1   3   1   2   9   0   0   4
03/18 1  1   0   0   2   0   1   3   1   2   9   0   0   4
03/19 2  1   0   0   2   0   1   3   1   2   9   0   0   4
03/20 8  1   0   0   2   0   1   9   1   2   9   0   0   4
03/21 14 4   0   0   2   0   1   12  1   2   9   0   0   4
03/22 19 8   0   2   4   0   1   14  1   2   9   0   0   4
03/23 38 12  0   2   4   0   2   16  1   2   10  0   0   4
03/24 44 12  0   4   5   1   1   17  1   3   10  1   0   5
03/25 44 12  0   5   5   3   1   20  2   3   12  1   0   5
03/26 47 21  1   5   8   3   3   20  3   3   12  1   0   4
03/27 81 23  1   6   8   3   4   15  3   3   12  1   1   4











